"ZONENAME","Year","sum_WHEATOUTPUT"
"Arsi","01-01-2010",8402.21070180833
"Arsi","01-01-2011",9756.32669944316
"Arsi","01-01-2012",9498.84016398713
"Arsi","01-01-2013",11359.2186107337
"Arsi","01-01-2014",11983.1246194988
"Arsi","01-01-2015",10113.4500451609
"Bale","01-01-2010",8020.09331341088
"Bale","01-01-2011",7551.3703327924
"Bale","01-01-2012",10131.7056749016
"Bale","01-01-2013",10755.7385831773
"Bale","01-01-2014",11303.21447137
"Bale","01-01-2015",9842.2333362177
"Central Tigray","01-01-2010",1284.23520310363
"Central Tigray","01-01-2011",1012.23867032677
"Central Tigray","01-01-2012",1413.6998013407
"Central Tigray","01-01-2013",1381.16032081097
"Central Tigray","01-01-2014",1443.1536694672
"Central Tigray","01-01-2015",1209.06443484686
"East Gojjam","01-01-2010",3090.52289894409
"East Gojjam","01-01-2011",2090.26320579904
"East Gojjam","01-01-2012",2939.60243628919
"East Gojjam","01-01-2013",3461.29610987194
"East Gojjam","01-01-2014",4025.5046795751
"East Gojjam","01-01-2015",4203.84403741732
"East Shewa","01-01-2010",2607.83820438711
"East Shewa","01-01-2011",3801.65664652735
"East Shewa","01-01-2012",4294.49151531979
"East Shewa","01-01-2013",4251.97113769129
"East Shewa","01-01-2014",4839.53410235723
"East Shewa","01-01-2015",5716.27454587445
"Eastern Tigray","01-01-2010",1631.72230071574
"Eastern Tigray","01-01-2011",1868.79244752042
"Eastern Tigray","01-01-2012",1793.76143175736
"Eastern Tigray","01-01-2013",1560.57077172212
"Eastern Tigray","01-01-2014",1954.05913458765
"Eastern Tigray","01-01-2015",1575.37682887819
"Gurage","01-01-2010",626.917501633987
"Gurage","01-01-2011",975.234576732037
"Gurage","01-01-2012",1014.91828879341
"Gurage","01-01-2013",909.642397621647
"Gurage","01-01-2014",2402.99460478313
"Gurage","01-01-2015",1127.85890568793
"Hadiya","01-01-2010",1600.78290151991
"Hadiya","01-01-2011",1984.20931853401
"Hadiya","01-01-2012",2445.11216800939
"Hadiya","01-01-2013",1982.54147060215
"Hadiya","01-01-2014",2060.90573897306
"Hadiya","01-01-2015",1673.59054835141
"Kembata Timbaro","01-01-2010",1044.6968021564
"Kembata Timbaro","01-01-2011",1321.36631004885
"Kembata Timbaro","01-01-2012",1157.50010190043
"Kembata Timbaro","01-01-2013",1401.06076820567
"Kembata Timbaro","01-01-2014",1555.40132945776
"Kembata Timbaro","01-01-2015",1026.1096077431
"North Gondar","01-01-2010",1812.56889614649
"North Gondar","01-01-2011",2119.09814444743
"North Gondar","01-01-2012",2079.18599608913
"North Gondar","01-01-2013",2333.78762011975
"North Gondar","01-01-2014",2421.46557862684
"North Gondar","01-01-2015",1805.13001056761
"North Shewa","01-01-2010",5206.88749879971
"North Shewa","01-01-2011",4739.41847148119
"North Shewa","01-01-2012",5564.67478390643
"North Shewa","01-01-2013",6996.43744376116
"North Shewa","01-01-2014",7624.98035234585
"North Shewa","01-01-2015",6753.4789876492
"North Wollo","01-01-2010",1008.45320322644
"North Wollo","01-01-2011",766.55860073166
"North Wollo","01-01-2012",1001.44049071521
"North Wollo","01-01-2013",1695.91473042918
"North Wollo","01-01-2014",1493.21965139546
"North Wollo","01-01-2015",952.249771999195
"Siliti","01-01-2010",1156.39659761637
"Siliti","01-01-2011",1539.44799014647
"Siliti","01-01-2012",1858.80726420134
"Siliti","01-01-2013",1880.7320727855
"Siliti","01-01-2014",1812.96365399286
"Siliti","01-01-2015",1755.12306433916
"South Gonder","01-01-2010",2378.91149781831
"South Gonder","01-01-2011",2748.8536766094
"South Gonder","01-01-2012",2603.9284836594
"South Gonder","01-01-2013",2467.84244948905
"South Gonder","01-01-2014",2882.63796969876
"South Gonder","01-01-2015",2660.98062417284
"South Tigray","01-01-2010",2434.89899683371
"South Tigray","01-01-2011",2429.67882867157
"South Tigray","01-01-2012",2339.24136018101
"South Tigray","01-01-2013",2617.21991584823
"South Tigray","01-01-2014",2196.38727182336
"South Tigray","01-01-2015",1805.31954718567
"South West Shewa","01-01-2010",2612.29400165007
"South West Shewa","01-01-2011",2480.89045088971
"South West Shewa","01-01-2012",3171.14496105816
"South West Shewa","01-01-2013",3867.92743629683
"South West Shewa","01-01-2014",3860.63469431968
"South West Shewa","01-01-2015",3700.48626419343
"South Wolo","01-01-2010",1605.93269909476
"South Wolo","01-01-2011",1677.9329640707
"South Wolo","01-01-2012",1734.02004174981
"South Wolo","01-01-2013",2803.60763476789
"South Wolo","01-01-2014",2614.04867350776
"South Wolo","01-01-2015",2677.01331868768
"West Arsi","01-01-2010",5016.89068712853
"West Arsi","01-01-2011",6601.72692476586
"West Arsi","01-01-2012",7515.16313352901
"West Arsi","01-01-2013",7785.88158614933
"West Arsi","01-01-2014",8260.39580795914
"West Arsi","01-01-2015",7470.51873289421
"West Shewa","01-01-2010",1682.31229868159
"West Shewa","01-01-2011",1629.47192027047
"West Shewa","01-01-2012",2184.96159033477
"West Shewa","01-01-2013",2209.6753019914
"West Shewa","01-01-2014",2709.39323461452
"West Shewa","01-01-2015",2271.71329563111
"Yem","01-01-2010",1396.73130147904
"Yem","01-01-2011",1704.40153386258
"Yem","01-01-2012",1886.54852188332
"Yem","01-01-2013",2015.57239023549
"Yem","01-01-2014",1973.86653437838
"Yem","01-01-2015",1940.41395717766
"Bottom 35 Zones","01-01-2010",10052.549092465
"Bottom 35 Zones","01-01-2011",7899.70096364032
"Bottom 35 Zones","01-01-2012",9594.35333077121
"Bottom 35 Zones","01-01-2013",10424.0358092936
"Bottom 35 Zones","01-01-2014",11912.4611643336
"Bottom 35 Zones","01-01-2015",9473.40277194697
